sec_timestamp,pkt_count,total_bytes,avg_pkt_len,datetime
1575605700,23504,2646382,112.59283526208306,2019-12-06 04:15:00
1575605701,24155,2793602,115.65315669633617,2019-12-06 04:15:01
1575605702,24138,2739949,113.5118485375756,2019-12-06 04:15:02
1575605703,25476,2765378,108.54835924006909,2019-12-06 04:15:03
1575605704,23658,2684782,113.4830501310339,2019-12-06 04:15:04
1575605705,23231,2675235,115.15797856312686,2019-12-06 04:15:05
1575605706,23328,2625352,112.54080932784636,2019-12-06 04:15:06
1575605707,22928,2546928,111.08374040474528,2019-12-06 04:15:07
1575605708,24801,2711992,109.35010685053022,2019-12-06 04:15:08
1575605709,23798,2689792,113.02596856878729,2019-12-06 04:15:09
1575605710,24027,2820804,117.40142339867649,2019-12-06 04:15:10
1575605711,24218,2811218,116.07969279048642,2019-12-06 04:15:11
1575605712,23659,2691096,113.74512870366456,2019-12-06 04:15:12
1575605713,25046,2716492,108.4601133913599,2019-12-06 04:15:13
1575605714,23529,2639882,112.19694844659782,2019-12-06 04:15:14
1575605715,23771,2688992,113.12069328172984,2019-12-06 04:15:15
1575605716,24082,2804964,116.47554189851341,2019-12-06 04:15:16
1575605717,23764,2676046,112.60924086854065,2019-12-06 04:15:17
1575605718,25546,2803544,109.74493071322321,2019-12-06 04:15:18
1575605719,24062,2768950,115.07563793533372,2019-12-06 04:15:19
1575605720,24022,2680582,111.58862709183249,2019-12-06 04:15:20
1575605721,24222,2709076,111.8436132441582,2019-12-06 04:15:21
1575605722,24234,2733716,112.80498473219444,2019-12-06 04:15:22
1575605723,26302,2953246,112.28218386434492,2019-12-06 04:15:23
1575605724,23942,2679810,111.92924567705288,2019-12-06 04:15:24
1575605725,24005,2689342,112.0325765465528,2019-12-06 04:15:25
1575605726,24256,2788396,114.95695910290237,2019-12-06 04:15:26
1575605727,23924,2709290,113.24569469988296,2019-12-06 04:15:27
1575605728,25483,2746761,107.7879762979241,2019-12-06 04:15:28
